,id,forum,number,title,abstract,authors,authorids,venue,venueid,primary_area,pdf,cdate_iso,pdate_iso,mdate_iso,openreview_url,institutions
104,nY0BrZdqLt,nY0BrZdqLt,20713,Time-Reversal Provides Unsupervised Feedback to LLMs,"Large Language Models (LLMs) are typically trained to predict in the forward direction of time. However, recent works have shown that prompting these models to look back and critique their own generations can produce useful feedback. Motivated by this, we explore the question of whether LLMs can be empowered to think (predict and score) backwards to provide unsupervised feedback that complements forward LLMs. Towards this, we introduce Time Reversed Language Models (TRLMs), which can score and generate queries when conditioned on responses, effectively functioning in the reverse direction of time. Further, to effectively infer in the response to query direction, we pre-train and fine-tune a language model (TRLM-Ba) in the reverse token order from scratch. We show empirically (and theoretically in a stylized setting) that time-reversed models can indeed complement forward model predictions when used to score the query given response for re-ranking multiple forward generations. We obtain up to 5\% improvement on the widely used AlpacaEval Leaderboard over the competent baseline of best-of-N re-ranking using self log-perplexity scores. We further show that TRLM scoring outperforms conventional forward scoring of response given query, resulting in significant gains in applications such as citation generation and passage retrieval. We next leverage the generative ability of TRLM to augment or provide unsupervised feedback to input safety filters of LLMs, demonstrating a drastic reduction in false negative rate with negligible impact on false positive rates against several attacks published on the popular JailbreakBench leaderboard.",Yerram Varun; Rahul Madhavan; Sravanti Addepalli; Arun Suggala; Karthikeyan Shanmugam; Prateek Jain,~Yerram_Varun1; ~Rahul_Madhavan1; ~Sravanti_Addepalli1; ~Arun_Suggala1; ~Karthikeyan_Shanmugam1; ~Prateek_Jain1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,generative_models,/pdf/08ee7a3ea3b3fd8e7bf896a4e8fac2fc695aab87.pdf,2024-05-15T18:33:10.836000,2024-09-25T18:17:19.996000,2024-12-28T14:58:55.152000,https://openreview.net/forum?id=nY0BrZdqLt,"Indian Institute of Science, Bangalore; Indian Institute of Science, Bangalore; Google; Google; Google"
109,fOQunr2E0T,fOQunr2E0T,20686,Compositional Generalization Across Distributional Shifts with Sparse Tree Operations,"Neural networks continue to struggle with compositional generalization, and this issue is exacerbated by a lack of massive pre-training. One successful approach for developing neural systems which exhibit human-like compositional generalization is $\textit{hybrid}$ neurosymbolic techniques. However, these techniques run into the core issues that plague symbolic approaches to AI: scalability and flexibility. The reason for this failure is that at their core, hybrid neurosymbolic models perform symbolic computation and relegate the scalable and flexible neural computation to parameterizing a symbolic system. We investigate a $\textit{unified}$ neurosymbolic system where transformations in the network can be interpreted simultaneously as both symbolic and neural computation. We extend a unified neurosymbolic architecture called the Differentiable Tree Machine in two central ways. First, we significantly increase the model’s efficiency through the use of sparse vector representations of symbolic structures. Second, we enable its application beyond the restricted set of tree2tree problems to the more general class of seq2seq problems. The improved model retains its prior generalization capabilities and, since there is a fully neural path through the network, avoids the pitfalls of other neurosymbolic techniques that elevate symbolic computation over neural computation.",Paul Soulos; Henry Conklin; Mattia Opper; Paul Smolensky; Jianfeng Gao; Roland Fernandez,~Paul_Soulos1; ~Henry_Conklin1; ~Mattia_Opper1; ~Paul_Smolensky1; ~Jianfeng_Gao1; ~Roland_Fernandez1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,neuroscience_and_cognitive_science,/pdf/aed15ce9fc817ff18604e2186dc4382de379f78a.pdf,2024-05-15T18:30:47.938000,2024-09-25T18:17:19.429000,2024-12-18T20:22:13.166000,https://openreview.net/forum?id=fOQunr2E0T,University of Edinburgh; University of Edinburgh; Microsoft
113,AbTpJl7vN6,AbTpJl7vN6,20639,Flexible task abstractions emerge in linear networks with fast and bounded units,"Animals survive in dynamic environments changing at arbitrary timescales, but such data distribution shifts are a challenge to neural networks. To adapt to change, neural systems may change a large number of parameters, which is a slow process involving forgetting past information. In contrast, animals leverage distribution changes to segment their stream of experience into tasks and associate them with internal task abstracts. Animals can then respond flexibly by selecting the appropriate task abstraction. However, how such flexible task abstractions may arise in neural systems remains unknown. Here, we analyze a linear gated network where the weights and gates are jointly optimized via gradient descent, but with neuron-like constraints on the gates including a faster timescale, non-negativity, and bounded activity. We observe that the weights self-organize into modules specialized for tasks or sub-tasks encountered, while the gates layer forms unique representations that switch the appropriate weight modules (task abstractions). We analytically reduce the learning dynamics to an effective eigenspace, revealing a virtuous cycle: fast adapting gates drive weight specialization by protecting previous knowledge, while weight specialization in turn increases the update rate of the gating layer. Task switching in the gating layer accelerates as a function of curriculum block size and task training, mirroring key findings in cognitive neuroscience. We show that the discovered task abstractions support generalization through both task and subtask composition, and we extend our findings to a non-linear network switching between two tasks. Overall, our work offers a theory of cognitive flexibility in animals as arising from joint gradient descent on synaptic and neural gating in a neural network architecture.",Kai Jappe Sandbrink; Jan Philipp Bauer; Alexandra Maria Proca; Andrew M Saxe; Christopher Summerfield; Ali Hummos,~Kai_Jappe_Sandbrink1; ~Jan_Philipp_Bauer1; ~Alexandra_Maria_Proca1; ~Andrew_M_Saxe1; ~Christopher_Summerfield2; ~Ali_Hummos1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,neuroscience_and_cognitive_science,/pdf/91f2b1e84633a2f794ca5f058a2d41a582bfb93b.pdf,2024-05-15T18:25:59.956000,2024-09-25T18:17:18.399000,2025-01-15T17:42:55.354000,https://openreview.net/forum?id=AbTpJl7vN6,EPFL - EPF Lausanne; University of Oxford; University College London; Hebrew University of Jerusalem; Imperial College London; University College London
114,7Swrtm9Qsp,7Swrtm9Qsp,20638,Stable Minima Cannot Overfit in Univariate ReLU Networks: Generalization by Large Step Sizes,"We study the generalization of two-layer ReLU neural networks in a univariate nonparametric regression problem with noisy labels. This is a problem where kernels (\emph{e.g.} NTK) are provably sub-optimal and benign overfitting does not happen, thus disqualifying existing theory for interpolating (0-loss, global optimal) solutions. We present a new theory of generalization for local minima that gradient descent with a constant learning rate can \emph{stably} converge to.  We show that gradient descent with a fixed learning rate $\eta$ can only find local minima that represent smooth functions with a certain weighted \emph{first order total variation} bounded by $1/\eta - 1/2 + \widetilde{O}(\sigma + \sqrt{\mathrm{MSE}})$ where $\sigma$ is the label noise level, $\mathrm{MSE}$ is short for mean squared error against the ground truth, and $\widetilde{O}(\cdot)$ hides a logarithmic factor. Under mild assumptions, we also prove a nearly-optimal MSE bound of $\widetilde{O}(n^{-4/5})$  within the strict interior of the support of the $n$ data points. Our theoretical results are validated by extensive simulation that demonstrates large learning rate training induces sparse linear spline fits. To the best of our knowledge, we are the first to obtain generalization bound via minima stability in the non-interpolation case and the first to show ReLU NNs without regularization can achieve near-optimal rates in nonparametric regression.",Dan Qiao; Kaiqi Zhang; Esha Singh; Daniel Soudry; Yu-Xiang Wang,~Dan_Qiao1; ~Kaiqi_Zhang2; ~Esha_Singh1; ~Daniel_Soudry1; ~Yu-Xiang_Wang1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,optimization_for_deep_networks,/pdf/52b99ae7d04dbbc7673c754b5d471e8b6c2ea071.pdf,2024-05-15T18:25:52.222000,2024-09-25T18:17:18.315000,2024-11-06T06:20:02.498000,https://openreview.net/forum?id=7Swrtm9Qsp,"University of California, San Diego; University of California, Santa Barbara; University of California, San Diego; University of California, Santa Barbara; Computer Science Department, Technion - Israel Institute of Technology; University of California, San Diego; University of California, Santa Barbara"
115,Li2rpRZWjy,Li2rpRZWjy,20620,Rule Extrapolation in Language Modeling: A Study of Compositional Generalization on OOD Prompts,"LLMs show remarkable emergent abilities, such as inferring concepts from presumably out-of-distribution prompts, known as in-context learning. Though this success is often attributed to the Transformer architecture, our systematic understanding is limited. In complex real-world data sets, even defining what is out-of-distribution is not obvious. To better understand the OOD behaviour of autoregressive LLMs, we focus on formal languages, which are defined by the intersection of rules. We define a new scenario of OOD compositional generalization, termed \textit{rule extrapolation}. Rule extrapolation describes OOD scenarios, where the prompt violates at least one rule. We evaluate rule extrapolation in formal languages with varying complexity in linear and recurrent architectures, the Transformer, and state space models to understand the architectures' influence on rule extrapolation. We also lay the first stones of a normative theory of rule extrapolation, inspired by the Solomonoff prior in algorithmic information theory.",Anna Mészáros; Szilvia Ujváry; Wieland Brendel; Patrik Reizinger; Ferenc Huszár,~Anna_Mészáros1; ~Szilvia_Ujváry1; ~Wieland_Brendel1; ~Patrik_Reizinger1; ~Ferenc_Huszár1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,deep_learning_architectures,/pdf/3af363183546a7b36996e9a348c55afdeac6a35f.pdf,2024-05-15T18:24:46.234000,2024-09-25T18:17:17.901000,2024-11-06T06:20:02.452000,https://openreview.net/forum?id=Li2rpRZWjy,"ELLIS Institute, Tübingen; University of Tübingen"
120,kfdEXQu6MC,kfdEXQu6MC,20594,A generalized neural tangent kernel for surrogate gradient learning,"State-of-the-art neural network training methods depend on the gradient of the network function. Therefore, they cannot be applied to networks whose activation functions do not have useful derivatives, such as binary and discrete-time spiking neural networks. To overcome this problem, the activation function's derivative is commonly substituted with a surrogate derivative, giving rise to surrogate gradient learning (SGL). This method works well in practice but lacks theoretical foundation.

The neural tangent kernel (NTK) has proven successful in the analysis of gradient descent. Here, we provide a generalization of the NTK, which we call the surrogate gradient NTK, that enables the analysis of SGL. First, we study a naive extension of the NTK to activation functions with jumps, demonstrating that gradient descent for such activation functions is also ill-posed in the infinite-width limit. To address this problem, we generalize the NTK to gradient descent with surrogate derivatives, i.e., SGL. We carefully define this generalization and expand the existing key theorems on the NTK with mathematical rigor. Further, we illustrate our findings with numerical experiments. Finally, we numerically compare SGL in networks with sign activation function and finite width to kernel regression with the surrogate gradient NTK; the results confirm that the surrogate gradient NTK provides a good characterization of SGL.",Luke Eilers; Raoul-Martin Memmesheimer; Sven Goedeke,~Luke_Eilers1; ~Raoul-Martin_Memmesheimer1; ~Sven_Goedeke1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,neuroscience_and_cognitive_science,/pdf/a3dec7e2507a4c6b97bd5406e21049ad0ea78ef0.pdf,2024-05-15T18:22:02.107000,2024-09-25T18:17:17.475000,2025-01-14T10:41:30.678000,https://openreview.net/forum?id=kfdEXQu6MC,University of Bonn; University of Freiburg
121,232VcN8tSx,232VcN8tSx,20576,GREATS: Online Selection of High-Quality Data for LLM Training in Every Iteration,"Online batch selection methods offer an adaptive alternative to static training data selection by dynamically selecting data batches during training. However, existing methods either rely on impractical reference models or simple heuristics that may not capture true data informativeness. To address these limitations, we propose \emph{GREedy Approximation Taylor Selection} (GREATS), a principled and efficient online batch selection method that applies greedy algorithm to optimize the data batch quality approximated by Taylor expansion. We develop a series of techniques to scale GREATS to large-scale model training. Extensive experiments with large language models (LLMs) demonstrate that GREATS significantly improves training convergence speed and generalization performance.",Jiachen T. Wang; Tong Wu; Dawn Song; Prateek Mittal; Ruoxi Jia,~Jiachen_T._Wang1; ~Tong_Wu1; ~Dawn_Song1; ~Prateek_Mittal1; ~Ruoxi_Jia1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,interpretability_and_explainability,/pdf/7ba7cf8ca5ca55af699a32b1f769c0926532eb3e.pdf,2024-05-15T18:19:52.808000,2024-09-25T18:17:17.006000,2025-01-16T03:59:26.554000,https://openreview.net/forum?id=232VcN8tSx,Princeton University; Princeton University; Princeton University; Virginia Tech
133,RQCmMSSzvI,RQCmMSSzvI,20492,Non-Asymptotic Uncertainty Quantification in High-Dimensional Learning,"Uncertainty quantification (UQ) is a crucial but challenging task in many high-dimensional learning problems to increase the confidence of a given predictor. We develop a new data-driven approach for UQ in regression that applies both to classical optimization approaches such as the LASSO as well as to neural networks. One of the most notable UQ techniques is the debiased LASSO, which modifies the LASSO to allow for the construction of asymptotic confidence intervals by decomposing the estimation error into a Gaussian and an asymptotically vanishing bias component. However, in real-world problems with finite-dimensional data, the bias term is often too significant to disregard, resulting in overly narrow confidence intervals. Our work rigorously addresses this issue and derives a data-driven adjustment that corrects the confidence intervals for a large class of predictors by estimating the means and variances of the bias terms from training data, exploiting high-dimensional concentration phenomena. This gives rise to non-asymptotic confidence intervals, which can help avoid overestimating certainty in critical applications such as MRI diagnosis. Importantly, our analysis extends beyond sparse regression to data-driven predictors like neural networks, enhancing the reliability of model-based deep learning. Our findings bridge the gap between established theory and the practical applicability of such methods.",Frederik Hoppe; Claudio Mayrink Verdun; Hannah Laus; Felix Krahmer; Holger Rauhut,~Frederik_Hoppe1; ~Claudio_Mayrink_Verdun1; ~Hannah_Laus1; ~Felix_Krahmer1; ~Holger_Rauhut1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,probabilistic_methods,/pdf/671e6746eaf5082a512cdfed10dc26c04a8dfb64.pdf,2024-05-15T18:11:47.779000,2024-09-25T18:17:14.918000,2025-01-16T10:48:32.767000,https://openreview.net/forum?id=RQCmMSSzvI,CONTACT-Software GmbH; RWTH Aachen University; Harvard University; Technical University of Munich; Ludwig-Maximilians-Universität München
182,go4zzXBWVs,go4zzXBWVs,20184,Boosting Vision-Language Models with Transduction,"Transduction is a powerful paradigm that leverages the structure of unlabeled data to boost predictive accuracy. We present TransCLIP, a novel and computationally efficient transductive approach designed for Vision-Language Models (VLMs). TransCLIP is applicable as a plug-and-play module on top of popular inductive zero- and few-shot models, consistently improving their performances. Our new objective function can be viewed as a regularized maximum-likelihood estimation, constrained by a KL divergence penalty that integrates the text-encoder knowledge and guides the transductive learning process. We further derive an iterative Block Majorize-Minimize (BMM) procedure for optimizing our objective, with guaranteed convergence and decoupled sample-assignment updates, yielding computationally efficient transduction for large-scale datasets. We report comprehensive evaluations, comparisons, and ablation studies that demonstrate: (i) Transduction can greatly enhance the generalization capabilities of inductive pretrained zero- and few-shot VLMs; (ii) TransCLIP substantially outperforms standard transductive few-shot learning methods relying solely on vision features, notably due to the KL-based language constraint.",Maxime Zanella; Benoît Gérin; Ismail Ben Ayed,~Maxime_Zanella1; ~Benoît_Gérin1; ~Ismail_Ben_Ayed1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,machine_vision,/pdf/165a3547dab21e1476a8a33906c72652f74ed988.pdf,2024-05-15T17:42:09.350000,2024-09-25T18:17:07.311000,2024-11-06T06:19:59.762000,https://openreview.net/forum?id=go4zzXBWVs,"UCLouvain; UCLouvain; École de technologie supérieure, Université du Québec"
202,kXKrLsR4aJ,kXKrLsR4aJ,20062,Input-to-State Stable Coupled Oscillator Networks for Closed-form Model-based Control in Latent Space,"Even though a variety of methods have been proposed in the literature, efficient and effective latent-space control (i.e., control in a learned low-dimensional space) of physical systems remains an open challenge.
We argue that a promising avenue is to leverage powerful and well-understood closed-form strategies from control theory literature in combination with learned dynamics, such as potential-energy shaping.
We identify three fundamental shortcomings in existing latent-space models that have so far prevented this powerful combination: (i) they lack the mathematical structure of a physical system, (ii) they do not inherently conserve the stability properties of the real systems, (iii) these methods do not have an invertible mapping between input and latent-space forcing.
This work proposes a novel Coupled Oscillator Network (CON) model that simultaneously tackles all these issues. 
More specifically, (i) we show analytically that CON is a Lagrangian system - i.e., it possesses well-defined potential and kinetic energy terms. Then, (ii) we provide formal proof of global Input-to-State stability using Lyapunov arguments.
Moving to the experimental side, we demonstrate that CON reaches SoA performance when learning complex nonlinear dynamics of mechanical systems directly from images.
An additional methodological innovation contributing to achieving this third goal is an approximated closed-form solution for efficient integration of network dynamics, which eases efficient training.
We tackle (iii) by approximating the forcing-to-input mapping with a decoder that is trained to reconstruct the input based on the encoded latent space force.
Finally, we leverage these three properties and show that they enable latent-space control. We use an integral-saturated PID with potential force compensation and demonstrate high-quality performance on a soft robot using raw pixels as the only feedback information.",Maximilian Stölzle; Cosimo Della Santina,~Maximilian_Stölzle1; ~Cosimo_Della_Santina1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,robotics,/pdf/fac38d41d80be55ab5f6463f5ba220894dd5d996.pdf,2024-05-15T17:28:33.991000,2024-09-25T18:17:04.600000,2024-12-22T13:12:09.885000,https://openreview.net/forum?id=kXKrLsR4aJ,Delft University of Technology; Massachusetts Institute of Technology
234,hUGD1aNMrp,hUGD1aNMrp,19825,"Assouad, Fano, and Le Cam with Interaction: A Unifying Lower Bound Framework and Characterization for Bandit Learnability","We develop a unifying framework for information-theoretic lower bound in statistical estimation and interactive decision making. Classical lower bound techniques---such as Fano's method, Le Cam's method, and Assouad's lemma---are central to the study of minimax risk in statistical estimation, yet are insufficient to provide tight lower bounds for \emph{interactive decision making} algorithms that collect data interactively (e.g., algorithms for bandits and reinforcement learning). Recent work of Foster et al. provides minimax lower bounds for interactive decision making using seemingly different analysis techniques from the classical methods. These results---which are proven using a complexity measure known as the \emph{Decision-Estimation Coefficient} (DEC)---capture difficulties unique to interactive learning, yet do not recover the tightest known lower bounds for passive estimation. We propose a unified view of these distinct methodologies through a new lower bound approach called \emph{interactive Fano method}. As an application, we introduce a novel complexity measure, the \emph{Fractional Covering Number}, which facilitates the new lower bounds for interactive decision making that extend the DEC methodology by incorporating the complexity of estimation. Using the fractional covering number, we (i) provide a unified characterization of learnability for \emph{any} stochastic bandit problem, (ii) close the remaining gap between the upper and lower bounds in Foster et al. (up to polynomial factors) for any interactive decision making problem in which the underlying model class is convex.",Fan Chen; Dylan J Foster; Yanjun Han; Jian Qian; Alexander Rakhlin; Yunbei Xu,~Fan_Chen4; ~Dylan_J_Foster1; ~Yanjun_Han1; ~Jian_Qian2; ~Alexander_Rakhlin1; ~Yunbei_Xu1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,learning_theory,/pdf/94267aff144f6a5c859f0ceb646fc519cab87f8e.pdf,2024-05-15T17:09:28.226000,2024-09-25T18:16:59.084000,2025-01-15T08:17:01.766000,https://openreview.net/forum?id=hUGD1aNMrp,Massachusetts Institute of Technology; Microsoft; Massachusetts Institute of Technology; National University of Singapore; Massachusetts Institute of Technology
242,uvFDaeFR9X,uvFDaeFR9X,19778,"Exploring Jacobian Inexactness in Second-Order Methods for Variational Inequalities: Lower Bounds, Optimal Algorithms and Quasi-Newton Approximations","Variational inequalities represent a broad class of problems, including minimization and min-max problems, commonly found in machine learning. Existing second-order and high-order methods for variational inequalities require precise computation of derivatives, often resulting in prohibitively high iteration costs. In this work, we study the impact of Jacobian inaccuracy on second-order methods. For the smooth and monotone case, we establish a lower bound with explicit dependence on the level of Jacobian inaccuracy and propose an optimal algorithm for this key setting. When derivatives are exact, our method converges at the same rate as exact optimal second-order methods. To reduce the cost of solving the auxiliary problem, which arises in all high-order methods with global convergence, we introduce several Quasi-Newton approximations. Our method with Quasi-Newton updates achieves a global sublinear convergence rate. We extend our approach with a tensor generalization for inexact high-order derivatives and support the theory with experiments.",Artem Agafonov; Petr Ostroukhov; Roman Mozhaev; Konstantin Yakovlev; Eduard Gorbunov; Martin Takáč; Alexander Gasnikov; Dmitry Kamzolov,~Artem_Agafonov1; ~Petr_Ostroukhov1; ~Roman_Mozhaev1; ~Konstantin_Yakovlev2; ~Eduard_Gorbunov1; ~Martin_Takáč1; ~Alexander_Gasnikov1; ~Dmitry_Kamzolov1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,optimization,/pdf/3fe99623de2ff3f95d6609a46442ea841749e161.pdf,2024-05-15T17:06:04.585000,2024-09-25T18:16:57.627000,2024-11-06T06:19:57.625000,https://openreview.net/forum?id=uvFDaeFR9X,Mohamed bin Zayed University of Artificial Intelligence; Institute for Information Transmission Problems; Mohamed bin Zayed University of Artificial Intelligence; Moscow Institute of Physics and Technology; National Research University Higher School of Economics; Huawei Noah's Ark Lab; Moscow Institute of Physics and Technology; Mohamed bin Zayed University of Artificial Intelligence; Mohamed bin Zayed University of Artificial Intelligence; The Skolkovo Institute of Science and Technology; Innopolis; Moscow Institute of Physics and Technology; Mohamed bin Zayed University of Artificial Intelligence
252,eSes1Mic9d,eSes1Mic9d,19693,Who's asking? User personas and the mechanics of latent misalignment,"Studies show that safety-tuned models may nevertheless divulge harmful information. In this work, we show that whether they do so depends significantly on who they are talking to, which we refer to as *user persona*. In fact, we find manipulating user persona to be more effective for eliciting harmful content than certain more direct attempts to control model refusal. We study both natural language prompting and activation steering as intervention methods and show that activation steering is significantly more effective at bypassing safety filters.
We shed light on the mechanics of this phenomenon by showing that even when model generations are safe, harmful content can persist in hidden representations and can be extracted by decoding from earlier layers.  We also show we can predict a persona’s effect on refusal given only the geometry of its steering vector. Finally, we show that certain user personas induce the model to form more charitable interpretations of otherwise dangerous queries.",Asma Ghandeharioun; Ann Yuan; Marius Guerard; Emily Reif; Michael A. Lepori; Lucas Dixon,~Asma_Ghandeharioun1; ~Ann_Yuan1; ~Marius_Guerard1; ~Emily_Reif2; ~Michael_A._Lepori1; ~Lucas_Dixon1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,safety_in_machine_learning,/pdf/705bfa192122d3300f182ceb90cb64e45c96c18a.pdf,2024-05-15T16:58:52.451000,2024-09-25T18:16:55.599000,2024-11-06T06:19:57.259000,https://openreview.net/forum?id=eSes1Mic9d,Google; Google; University of Washington; Brown University; Google
